pipeline,model,judge,n_examples_ragas,faithfulness_mean,faithfulness_std,faithfulness_n,answer_relevancy_mean,answer_relevancy_std,answer_relevancy_n,context_precision_mean,context_precision_std,context_precision_n,n_examples_qa,exact_match,f1,n_answered,f1_answered_only,em_answered_only,em_numeric,em_numeric_answered,top_k,retrieval_hit,faith_answered
dense_faiss,openai:gpt-3.5-turbo,openai:gpt-4o-mini,150,0.197,0.3663,55,0.4136,0.4104,90,0.4167,0.4259,69,150,0.0,0.1161,82,0.2099,0.0,0.18,0.3293,3,0.64,0.35185185185185186
dense_top5,openai:gpt-3.5-turbo,openai:gpt-4o-mini,150,0.2484,0.3879,128,0.4681,0.3893,150,0.3876,0.4015,150,150,0.0,0.1261,97,0.195,0.0,0.22,0.3402,5,0.7333333333333333,0.3973304473304473
